Title,director,duration,actor_1,actor_2,actor_3,gross,genres,plot_keywords,budget,year,keywords,combination
Avatar,James Cameron,178,CCH Pounder,Joel David Moore,Wes Studi,760505847,Action Adventure Fantasy Sci-Fi,avatar future marine native paraplegic,237000000,2009,avatar future marine native paraplegic,JamesCameron CCHPounder JoelDavidMoore WesStudi Action Adventure Fantasy Sci-Fi avatar future marine native paraplegic
Pirates of the Caribbean: At World's End,Gore Verbinski,169,Johnny Depp,Orlando Bloom,Jack Davenport,309404152,Action Adventure Fantasy,goddess marriage ceremony marriage proposal pirate singapore,300000000,2007,goddess marriage ceremony proposal pirate singapore,GoreVerbinski JohnnyDepp OrlandoBloom JackDavenport Action Adventure Fantasy goddess marriage ceremony proposal pirate singapore
Spectre,Sam Mendes,148,Christoph Waltz,Rory Kinnear,Stephanie Sigman,200074175,Action Adventure Thriller,bomb espionage sequel spy terrorist,245000000,2015,bomb espionage sequel spy terrorist,SamMendes ChristophWaltz RoryKinnear StephanieSigman Action Adventure Thriller bomb espionage sequel spy terrorist
The Dark Knight Rises,Christopher Nolan,164,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,448130642,Action Thriller,deception imprisonment lawlessness police officer terrorist plot,250000000,2012,deception imprisonment lawlessness police officer terrorist plot,ChristopherNolan TomHardy ChristianBale JosephGordon-Levitt Action Thriller deception imprisonment lawlessness police officer terrorist plot
Star Wars: Episode VII - The Force Awakens,Doug Walker,0,Doug Walker,Rob Walker,,0,Documentary,,0,0,,DougWalker DougWalker RobWalker  Documentary 
John Carter,Andrew Stanton,132,Daryl Sabara,Samantha Morton,Polly Walker,73058679,Action Adventure Sci-Fi,alien american civil war male nipple mars princess,263700000,2012,alien american civil war male nipple mar princess,AndrewStanton DarylSabara SamanthaMorton PollyWalker Action Adventure Sci-Fi alien american civil war male nipple mar princess
Spider-Man 3,Sam Raimi,156,J.K. Simmons,James Franco,Kirsten Dunst,336530303,Action Adventure Romance,sandman spider man symbiote venom villain,258000000,2007,sandman spider man symbiote venom villain,SamRaimi J.K.Simmons JamesFranco KirstenDunst Action Adventure Romance sandman spider man symbiote venom villain
Tangled,Nathan Greno,100,Brad Garrett,Donna Murphy,M.C. Gainey,200807262,Adventure Animation Comedy Family Fantasy Musical Romance,17th century based on fairy tale disney flower tower,260000000,2010,17th century based fairy tale disney flower tower,NathanGreno BradGarrett DonnaMurphy M.C.Gainey Adventure Animation Comedy Family Fantasy Musical Romance 17th century based fairy tale disney flower tower
Avengers: Age of Ultron,Joss Whedon,141,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,458991599,Action Adventure Sci-Fi,artificial intelligence based on comic book captain america marvel cinematic universe superhero,250000000,2015,artificial intelligence based comic book captain america marvel cinematic universe superhero,JossWhedon ChrisHemsworth RobertDowneyJr. ScarlettJohansson Action Adventure Sci-Fi artificial intelligence based comic book captain america marvel cinematic universe superhero
Harry Potter and the Half-Blood Prince,David Yates,153,Alan Rickman,Daniel Radcliffe,Rupert Grint,301956980,Adventure Family Fantasy Mystery,blood book love potion professor,250000000,2009,blood book love potion professor,DavidYates AlanRickman DanielRadcliffe RupertGrint Adventure Family Fantasy Mystery blood book love potion professor
Batman v Superman: Dawn of Justice,Zack Snyder,183,Henry Cavill,Lauren Cohan,Alan D. Purwin,330249062,Action Adventure Sci-Fi,based on comic book batman sequel to a reboot superhero superman,250000000,2016,based comic book batman sequel reboot superhero superman,ZackSnyder HenryCavill LaurenCohan AlanD.Purwin Action Adventure Sci-Fi based comic book batman sequel reboot superhero superman
Superman Returns,Bryan Singer,169,Kevin Spacey,Marlon Brando,Frank Langella,200069408,Action Adventure Sci-Fi,crystal epic lex luthor lois lane return to earth,209000000,2006,crystal epic lex luthor lois lane return earth,BryanSinger KevinSpacey MarlonBrando FrankLangella Action Adventure Sci-Fi crystal epic lex luthor lois lane return earth
Quantum of Solace,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,168368427,Action Adventure,action hero attempted rape bond girl official james bond series revenge,200000000,2008,action hero attempted rape bond girl official james series revenge,MarcForster GiancarloGiannini MathieuAmalric RoryKinnear Action Adventure action hero attempted rape bond girl official james series revenge
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,151,Johnny Depp,Orlando Bloom,Jack Davenport,423032628,Action Adventure Fantasy,box office hit giant squid heart liar's dice monster,225000000,2006,box office hit giant squid heart liar dice monster,GoreVerbinski JohnnyDepp OrlandoBloom JackDavenport Action Adventure Fantasy box office hit giant squid heart liar dice monster
The Lone Ranger,Gore Verbinski,150,Johnny Depp,Ruth Wilson,Tom Wilkinson,89289910,Action Adventure Western,horse outlaw texas texas ranger train,215000000,2013,horse outlaw texas ranger train,GoreVerbinski JohnnyDepp RuthWilson TomWilkinson Action Adventure Western horse outlaw texas ranger train
Man of Steel,Zack Snyder,143,Henry Cavill,Christopher Meloni,Harry Lennix,291021565,Action Adventure Fantasy Sci-Fi,based on comic book british actor playing american character final battle origin of hero reboot,225000000,2013,based comic book british actor playing american character final battle origin hero reboot,ZackSnyder HenryCavill ChristopherMeloni HarryLennix Action Adventure Fantasy Sci-Fi based comic book british actor playing american character final battle origin hero reboot
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,150,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,141614023,Action Adventure Family Fantasy,brother brother relationship brother sister relationship good versus evil king narnia,225000000,2008,brother relationship sister good versus evil king narnia,AndrewAdamson PeterDinklage PierfrancescoFavino DamiánAlcázar Action Adventure Family Fantasy brother relationship sister good versus evil king narnia
The Avengers,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,623279547,Action Adventure Sci-Fi,alien invasion assassin battle iron man soldier,220000000,2012,alien invasion assassin battle iron man soldier,JossWhedon ChrisHemsworth RobertDowneyJr. ScarlettJohansson Action Adventure Sci-Fi alien invasion assassin battle iron man soldier
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,136,Johnny Depp,Sam Claflin,Stephen Graham,241063875,Action Adventure Fantasy,blackbeard captain pirate revenge soldier,250000000,2011,blackbeard captain pirate revenge soldier,RobMarshall JohnnyDepp SamClaflin StephenGraham Action Adventure Fantasy blackbeard captain pirate revenge soldier
Men in Black 3,Barry Sonnenfeld,106,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,179020854,Action Adventure Comedy Family Fantasy Sci-Fi,alien criminal m.i.b. maximum security prison prison,225000000,2012,alien criminal b maximum security prison,BarrySonnenfeld WillSmith MichaelStuhlbarg NicoleScherzinger Action Adventure Comedy Family Fantasy Sci-Fi alien criminal b maximum security prison
The Hobbit: The Battle of the Five Armies,Peter Jackson,164,Aidan Turner,Adam Brown,James Nesbitt,255108370,Adventure Fantasy,army elf hobbit middle earth orc,250000000,2014,army elf hobbit middle earth orc,PeterJackson AidanTurner AdamBrown JamesNesbitt Adventure Fantasy army elf hobbit middle earth orc
The Amazing Spider-Man,Marc Webb,153,Emma Stone,Andrew Garfield,Chris Zylka,262030663,Action Adventure Fantasy,lizard outcast spider spider man teenager,230000000,2012,lizard outcast spider man teenager,MarcWebb EmmaStone AndrewGarfield ChrisZylka Action Adventure Fantasy lizard outcast spider man teenager
Robin Hood,Ridley Scott,156,Mark Addy,William Hurt,Scott Grimes,105219735,Action Adventure Drama History,1190s archer england king of england robin hood,200000000,2010,1190s archer england king robin hood,RidleyScott MarkAddy WilliamHurt ScottGrimes Action Adventure Drama History 1190s archer england king robin hood
The Hobbit: The Desolation of Smaug,Peter Jackson,186,Aidan Turner,Adam Brown,James Nesbitt,258355354,Adventure Fantasy,dwarf elf lake town mountain sword and sorcery,225000000,2013,dwarf elf lake town mountain sword sorcery,PeterJackson AidanTurner AdamBrown JamesNesbitt Adventure Fantasy dwarf elf lake town mountain sword sorcery
The Golden Compass,Chris Weitz,113,Christopher Lee,Eva Green,Kristin Scott Thomas,70083519,Adventure Family Fantasy,children epic friend girl quest,180000000,2007,child epic friend girl quest,ChrisWeitz ChristopherLee EvaGreen KristinScottThomas Adventure Family Fantasy child epic friend girl quest
King Kong,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,Evan Parke,218051260,Action Adventure Drama Romance,animal name in title ape abducts a woman gorilla island king kong,207000000,2005,animal name title ape abducts woman gorilla island king kong,PeterJackson NaomiWatts ThomasKretschmann EvanParke Action Adventure Drama Romance animal name title ape abducts woman gorilla island king kong
Titanic,James Cameron,194,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,658672302,Drama Romance,artist love ship titanic wet,200000000,1997,artist love ship titanic wet,JamesCameron LeonardoDiCaprio KateWinslet GloriaStuart Drama Romance artist love ship titanic wet
Captain America: Civil War,Anthony Russo,147,Robert Downey Jr.,Scarlett Johansson,Chris Evans,407197282,Action Adventure Sci-Fi,based on comic book knife marvel cinematic universe returning character killed off superhero,250000000,2016,based comic book knife marvel cinematic universe returning character killed superhero,AnthonyRusso RobertDowneyJr. ScarlettJohansson ChrisEvans Action Adventure Sci-Fi based comic book knife marvel cinematic universe returning character killed superhero
Battleship,Peter Berg,131,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,65173160,Action Adventure Sci-Fi Thriller,box office flop hawaii naval oahu hawaii ship,209000000,2012,box office flop hawaii naval oahu ship,PeterBerg LiamNeeson AlexanderSkarsgård TadanobuAsano Action Adventure Sci-Fi Thriller box office flop hawaii naval oahu ship
Jurassic World,Colin Trevorrow,124,Bryce Dallas Howard,Judy Greer,Omar Sy,652177271,Action Adventure Sci-Fi Thriller,dinosaur disaster film experiment gone wrong jurassic park velociraptor,150000000,2015,dinosaur disaster film experiment gone wrong jurassic park velociraptor,ColinTrevorrow BryceDallasHoward JudyGreer OmarSy Action Adventure Sci-Fi Thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor
Skyfall,Sam Mendes,143,Albert Finney,Helen McCrory,Rory Kinnear,304360277,Action Adventure Thriller,brawl childhood home computer cracker intelligence agency terrorist cell,200000000,2012,brawl childhood home computer cracker intelligence agency terrorist cell,SamMendes AlbertFinney HelenMcCrory RoryKinnear Action Adventure Thriller brawl childhood home computer cracker intelligence agency terrorist cell
Spider-Man 2,Sam Raimi,135,J.K. Simmons,James Franco,Kirsten Dunst,373377893,Action Adventure Fantasy Romance,death doctor scientist super villain tentacle,200000000,2004,death doctor scientist super villain tentacle,SamRaimi J.K.Simmons JamesFranco KirstenDunst Action Adventure Fantasy Romance death doctor scientist super villain tentacle
Iron Man 3,Shane Black,195,Robert Downey Jr.,Jon Favreau,Don Cheadle,408992272,Action Adventure Sci-Fi,armor explosion human bomb missile attack terrorist,200000000,2013,armor explosion human bomb missile attack terrorist,ShaneBlack RobertDowneyJr. JonFavreau DonCheadle Action Adventure Sci-Fi armor explosion human bomb missile attack terrorist
Alice in Wonderland,Tim Burton,108,Johnny Depp,Alan Rickman,Anne Hathaway,334185206,Adventure Family Fantasy,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,200000000,2010,alice wonderland mistaking reality dream queen shrinking potion,TimBurton JohnnyDepp AlanRickman AnneHathaway Adventure Family Fantasy alice wonderland mistaking reality dream queen shrinking potion
X-Men: The Last Stand,Brett Ratner,104,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,234360014,Action Adventure Fantasy Sci-Fi Thriller,battle mutant outrage walking through a wall x men,210000000,2006,battle mutant outrage walking wall x men,BrettRatner HughJackman KelseyGrammer DanielCudmore Action Adventure Fantasy Sci-Fi Thriller battle mutant outrage walking wall x men
